Campo;Contenido;Incidente;Fecha
Texto breve;RETIRAR MARRANERA TERM SLC VBL SNG 27;1755280;2018-07-07 16:42:13
Número de clasificación para actividad;;1755280;2018-02-08 08:42:58
Parte del objeto;3010;1755280;2018-02-08 08:42:48
Número de versión;000001;1755280;2018-02-08 08:42:48
Grupo de códigos: problemas;LITRA-VA;1755280;2018-02-08 08:42:48
Grupo de códigos: partes del objeto;LITRA-VA;1755280;2018-02-08 08:42:48
Grupo de códigos: causas;3LITR-EN;1755280;2018-02-08 08:42:48
Código del problema o de la avería;5050;1755280;2018-02-08 08:42:48
Código de causas;3115;1755280;2018-02-08 08:42:48
Clase de catálogo: Causas;F;1755280;2018-02-08 08:42:48
"Clase catálogo; problemas/errores";5;1755280;2018-02-08 08:42:48
Texto de acción;mtto serv_se está deteriorando;1755280;2017-07-14 11:41:16
Perfil de catálogo;3-LINTRA;1755280;2017-04-28 12:23:14
Origen del esquema de informe para avisos;3;1755280;2017-04-28 12:23:14
Fecha de fin deseada;31/12/2023;1755280;2016-12-30 15:56:46
Fecha de fin deseada;31/12/2021;1755280;2016-01-10 14:17:40
Texto breve;RETIRAR MARRANERA TERM SLC VBL SNG;1755280;2015-09-03 09:47:10
Prioridad;7;1755280;2015-09-03 09:47:10
Fecha de fin deseada;31/12/2020;1755280;2015-09-03 09:47:10
Código de actividad;0110;1755280;2015-07-26 17:15:31
Texto de acción;Se realizó mantenimiento Serv.Parcial;1755280;2015-07-10 08:39:44
Fecha de fin deseada;31/12/2024;1755280;2014-02-22 15:11:44
Texto breve;RETIRAR MARRANERATERM SLC NG IVB;1755280;2013-04-05 15:01:59
Fecha de fin deseada;12/12/2018;1755280;2013-04-05 15:01:59
Interlocutor;00010031;1755280;2012-06-30 11:18:33
Interlocutor;99991901;1755280;2011-04-21 10:30:09
Fecha de inicio deseada;04/05/2016;1755280;2011-01-30 18:34:43
Fecha de fin deseada;01/09/2016;1755280;2011-01-30 18:34:43
Grupo de códigos: Codificación;ORIGEN;1755280;2011-01-06 14:55:48
Codificación;0060;1755280;2011-01-06 14:55:48
Fecha de fin deseada;30/11/2015;1755280;2010-12-29 11:21:56
Número de orden;000035700069;1755280;2010-01-02 09:53:01
Estatus;Orden asignada;1755280;2010-01-02 09:53:01
Número de orden;;1755280;2010-01-02 07:48:08
Estatus;Orden asignada;1755280;2010-01-02 07:48:08
ID objeto del puesto de trabajo;10000847;1755280;2009-12-18 10:53:35
Centro para puesto trabajo;ITCO;1755280;2009-12-18 10:53:35
Centro de planificación del mantenimiento;ITCO;1755280;2009-12-18 10:53:35
Fecha de fin deseada;31/07/2013;1755280;2008-08-14 16:24:19
Número de orden;000030072912;1755280;2007-10-20 15:08:07
Estatus;Orden asignada;1755280;2007-10-20 15:08:07
Interlocutor;00003992;1755280;2007-10-20 15:06:03
ID objeto del puesto de trabajo;10000221;1755280;2007-08-15 07:56:13
