TIPO DE AVISO;Estado;Prioridad;Incidente;Estructura;Creacion;Inicio;Cierre
;INIC;Mes;1888349;19885059;2003-05-18 00:00:00;2003-05-18 00:00:00;2003-10-01 00:00:00
;INIC;Semestre;1888338;19797979;2003-05-19 00:00:00;2003-05-19 00:00:00;2003-08-16 00:00:00
;CCLI;Semana;1888336;19798855;2003-05-21 00:00:00;2003-05-21 00:00:00;2003-06-02 00:00:00
;INIC;Semana;1888122;19892782;2003-05-28 00:00:00;2003-05-28 00:00:00;2003-06-02 00:00:00
;PROY;Semestre;1888094;19862532;2003-05-29 00:00:00;2003-07-30 00:00:00;2005-08-06 00:00:00
;INIC;Mes;1888014;19873689;2003-05-30 00:00:00;2003-05-30 00:00:00;2003-09-11 00:00:00
;INIC;Semestre;1887998;19893527;2003-05-31 00:00:00;2003-05-31 00:00:00;2003-12-11 00:00:00
;INIC;Semana;1887890;19797720;2003-05-21 00:00:00;2003-06-12 00:00:00;2003-11-11 00:00:00
;INIC;Semana;1887890;19797720;2003-05-21 00:00:00;2003-10-10 00:00:00;2003-11-11 00:00:00
;INIC;Semana;1887890;19797720;2003-05-21 00:00:00;2003-10-10 00:00:00;2003-11-11 00:00:00
;INIC;Semana;1887890;19797720;2003-05-21 00:00:00;2003-11-11 00:00:00;2003-11-11 00:00:00
;INIC;Semestre;1887879;19893105;2003-06-03 00:00:00;2003-06-12 00:00:00;2003-10-19 00:00:00
;INIC;Very high;1860058;19865954;2004-03-19 00:00:00;2004-06-24 00:00:00;2005-09-11 00:00:00
;COPE;Año;1887673;19871806;2003-06-10 00:00:00;2003-06-10 00:00:00;2007-04-05 00:00:00
;INIC;Mes;1887638;19797402;2003-06-13 00:00:00;2003-07-31 00:00:00;2003-09-01 00:00:00
;INIC ENPT;Año;2727201;19865954;2014-03-27 00:00:00;2014-03-27 00:00:00;2015-03-27 00:00:00
;INIC ENPT;Tres años;2486904;19865954;2016-06-24 00:00:00;2016-06-24 00:00:00;2018-04-11 00:00:00
;INIC;Very high;1860049;19865945;2004-03-19 00:00:00;2004-06-24 00:00:00;2005-09-11 00:00:00
;INIC;Very high;1860048;19865944;2004-03-19 00:00:00;2004-06-24 00:00:00;2005-09-11 00:00:00
OBRAS;INIC ENPT GERE;Año;1642746;19892454;2010-02-24 00:00:00;2010-02-24 00:00:00;2011-08-12 00:00:00
;PROY;Very high;1860047;19865943;2004-03-19 00:00:00;2004-06-24 00:00:00;2005-09-11 00:00:00
;INIC;Año;1675907;19865943;2009-04-22 00:00:00;2009-06-18 00:00:00;2009-10-08 00:00:00
;INIC;;1638055;19865943;2010-04-25 00:00:00;2010-04-25 00:00:00;2010-05-05 00:00:00
;INIC ENPT;Año;2727168;19865943;2014-03-27 00:00:00;2014-03-27 00:00:00;2015-07-09 00:00:00
;INIC;Very high;1860057;19865953;2004-03-19 00:00:00;2004-06-24 00:00:00;2005-09-11 00:00:00
;INIC SCOR;;1667576;19865953;2009-08-22 00:00:00;2009-08-22 00:00:00;2009-09-20 00:00:00
;INIC ENPT;Tres años;2486899;19865953;2016-06-24 00:00:00;2016-06-24 00:00:00;2018-04-11 00:00:00
;INIC;Very high;1860056;19865952;2004-03-19 00:00:00;2004-06-24 00:00:00;2005-09-11 00:00:00
;CPRO;Año;1679591;19865952;2009-04-22 00:00:00;2009-04-22 00:00:00;2009-08-13 00:00:00
;INIC ENPT;Año;1643369;19865952;2010-02-17 00:00:00;2010-02-17 00:00:00;2011-04-22 00:00:00
;INIC ENPT;Año;2727198;19865952;2014-03-27 00:00:00;2014-03-27 00:00:00;2015-03-27 00:00:00
;INIC ENPT;Seis años;2727189;19865952;2014-03-27 00:00:00;2014-03-27 00:00:00;2016-07-06 00:00:00
;INIC;Very high;1860055;19865951;2004-03-19 00:00:00;2004-06-24 00:00:00;2005-09-11 00:00:00
;INIC;Año;1675904;19865951;2009-04-22 00:00:00;2009-06-18 00:00:00;2009-09-12 00:00:00
OBRAS;INIC ENPT GERE;Año;1642746;19892454;2010-02-24 00:00:00;2010-03-26 00:00:00;2011-08-12 00:00:00
VEGETACIÓN;INIC TAMB GERE;Dos años;2403089;19892490;2018-06-27 00:00:00;2018-08-09 00:00:00;
;INIC ENPT;Tres años;2486892;19865951;2016-06-24 00:00:00;2016-06-24 00:00:00;2018-04-12 00:00:00
;INIC;Very high;1852377;19892730;2004-06-24 00:00:00;2004-06-24 00:00:00;2005-09-11 00:00:00
;CPRO;Año;1679586;19892730;2009-04-22 00:00:00;2009-04-22 00:00:00;2009-08-13 00:00:00
VEGETACIÓN;INIC TAMB GERE;Dos años;2403089;19892490;2018-06-27 00:00:00;2018-06-27 00:00:00;
;INIC;Tres años;2727194;19892730;2014-03-27 00:00:00;2014-03-27 00:00:00;2014-12-11 00:00:00
;PROY;Año;1887380;19892729;2003-06-20 00:00:00;2003-06-20 00:00:00;2004-08-05 00:00:00
;INIC;Año;1751434;19892729;2007-09-06 00:00:00;2007-09-06 00:00:00;2007-09-30 00:00:00
;INIC;Año;1747295;19892729;2007-09-06 00:00:00;2007-10-03 00:00:00;2007-10-03 00:00:00
;CPRO;Año;1679585;19892729;2009-04-22 00:00:00;2009-04-22 00:00:00;2009-08-13 00:00:00
;INIC ENPT;Año;1643358;19892729;2010-02-17 00:00:00;2010-02-17 00:00:00;2011-04-22 00:00:00
;INIC;Tres años;2727179;19892729;2014-03-27 00:00:00;2014-05-02 00:00:00;2014-09-19 00:00:00
;INIC ENPT;Semana;2438477;19892729;2017-09-24 00:00:00;2017-09-24 00:00:00;2017-10-20 00:00:00
;INIC ENPT;Tres años;2437871;19892729;2017-10-05 00:00:00;2017-10-05 00:00:00;2018-02-15 00:00:00
